iteration,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
0,473.6859436035156,473.6792907714844,473.6826171875,nan,nan,nan,0.0,0.0,0.0
1,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
2,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
3,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
0,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
1,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
2,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
3,473.6859436035156,473.6792907714844,473.6826171875,nan,nan,nan,0.0,0.0,0.0
4,473.6859436035156,473.6792907714844,473.6825866699219,nan,nan,nan,0.0,0.0,0.0
